RAG_Type,Model_Type,Precision,Recall,F1,BLEU,METEOR,ROUGE-1,ROUGE-2,ROUGE-L
FeedbackLoopRetrieval,qwen2.5:latest,0.9349,0.9031,0.9187,0.3429,0.4491,0.4615,0.254,0.4
FeedbackLoopRetrieval,qwen2.5:latest,0.9449,0.8818,0.9122,0.1098,0.215,0.4138,0.1786,0.3793
ExplainableRetrieval,qwen2.5:latest,0.9184,0.865,0.8909,0.3858,0.3671,0.5075,0.2154,0.4179
ExplainableRetrieval,qwen2.5:latest,0.9689,0.8766,0.9205,0.0458,0.2008,0.3548,0.2333,0.3548
ExplainableRetrieval,qwen2.5:latest,0.7669,0.7209,0.7432,0,0,0,0,0
ExplainableRetrieval,qwen2.5:latest,0.9235,0.8935,0.9083,0.3084,0.3907,0.4,0.1905,0.2769
ExplainableRetrieval,qwen2.5:latest,0.9565,0.907,0.9311,0.268,0.3504,0.5312,0.2903,0.4688
SimpleRAG,llama2:latest,0.8819,0.8986,0.8902,0.4026,0.4444,0.449,0.2292,0.3673
SimpleRAG,llama2:latest,0.9811,0.9737,0.9774,0.7806,0.8149,0.8,0.6237,0.7579
SimpleRAG,llama2:latest,0.8512,0.9008,0.8753,0.2377,0.4596,0.3382,0.1791,0.2941
SimpleRAG,llama2:latest,0.8151,0.8926,0.852,0.112,0.3466,0.2171,0.1016,0.155
SimpleRAG,llama2:latest,0.8904,0.9173,0.9036,0.3193,0.5547,0.4211,0.2267,0.3289
AdaptiveRetrieval,llama2:latest,0.8819,0.8986,0.8902,0.4026,0.4444,0.449,0.2292,0.3673
AdaptiveRetrieval,llama2:latest,0.9429,0.9614,0.9521,0.5256,0.658,0.605,0.4615,0.521
AdaptiveRetrieval,llama2:latest,0.8398,0.9034,0.8705,0.1761,0.4007,0.2717,0.1429,0.2391
AdaptiveRetrieval,llama2:latest,0.8651,0.9072,0.8856,0.1879,0.401,0.3218,0.1395,0.2299
AdaptiveRetrieval,llama2:latest,0.8764,0.9144,0.895,0.2469,0.5107,0.3529,0.1838,0.2674
